Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\com\example\randy,1,12849,2268,2094,0,2,0,10579,48431,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\com\example\randy\sample,1,12849,2268,2094,0,2,0,10579,48431,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\src,24,4264,3084,2595,149,1112,94,68,984,0,0
C:\Users\randy\AndroidStudioProjects\sample\app\src\androidTest,1,27,15,11,0,6,0,6,24,0,0
C:\Users\randy\AndroidStudioProjects\sample\app\src\androidTest\java,1,27,15,11,0,6,0,6,24,0,0
C:\Users\randy\AndroidStudioProjects\sample\app\src\androidTest\java\com,1,27,15,11,0,6,0,6,24,0,0
C:\Users\randy\AndroidStudioProjects\sample\app\src\androidTest\java\com\example,1,27,15,11,0,6,0,6,24,0,0
C:\Users\randy\AndroidStudioProjects\sample\app\src\androidTest\java\com\example\randy,1,27,15,11,0,6,0,6,24,0,0
C:\Users\randy\AndroidStudioProjects\sample\app\src\androidTest\java\com\example\randy\sample,1,27,15,11,0,6,0,6,24,0,0
C:\Users\randy\AndroidStudioProjects\sample\app\src\main,22,4220,3060,2578,149,1103,94,57,939,0,0
C:\Users\randy\AndroidStudioProjects\sample\app\src\main\java,22,4220,3060,2578,149,1103,94,57,939,0,0
C:\Users\randy\AndroidStudioProjects\sample\app\src\main\java\com,22,4220,3060,2578,149,1103,94,57,939,0,0
C:\Users\randy\AndroidStudioProjects\sample\app\src\main\java\com\example,22,4220,3060,2578,149,1103,94,57,939,0,0
C:\Users\randy\AndroidStudioProjects\sample\app\src\main\java\com\example\randy,22,4220,3060,2578,149,1103,94,57,939,0,0
C:\Users\randy\AndroidStudioProjects\sample\app\src\main\java\com\example\randy\sample,22,4220,3060,2578,149,1103,94,57,939,0,0
C:\Users\randy\AndroidStudioProjects\sample\app\src\test,1,17,9,6,0,3,0,5,21,0,0
C:\Users\randy\AndroidStudioProjects\sample\app\src\test\java,1,17,9,6,0,3,0,5,21,0,0
C:\Users\randy\AndroidStudioProjects\sample\app\src\test\java\com,1,17,9,6,0,3,0,5,21,0,0
C:\Users\randy\AndroidStudioProjects\sample\app\src\test\java\com\example,1,17,9,6,0,3,0,5,21,0,0
C:\Users\randy\AndroidStudioProjects\sample\app\src\test\java\com\example\randy,1,17,9,6,0,3,0,5,21,0,0
C:\Users\randy\AndroidStudioProjects\sample\app\src\test\java\com\example\randy\sample,1,17,9,6,0,3,0,5,21,0,0
